"","model","n","prop_extreme","magnitude_level","treatment","mean_est","bias","emp_se","rmse","coverage","n_fail"
"289","logols",5000,0.01,1,"mean_adj",0.0075,0.0075,0.1276,0.1277,0.948,0
"290","logols",5000,0.01,1,"median_adj",0.0128,0.0128,0.1352,0.1357,0.942,0
"291","logols",5000,0.01,1,"raw",-0.0016,-0.0016,0.1426,0.1424,0.946,0
"292","logols",5000,0.01,1,"topcode",0.0012,0.0012,0.1318,0.1317,0.962,0
"293","logols",5000,0.01,2,"mean_adj",0.0075,0.0075,0.1339,0.134,0.948,0
"294","logols",5000,0.01,2,"median_adj",0.0146,0.0146,0.1353,0.1359,0.944,0
"295","logols",5000,0.01,2,"raw",-0.0026,-0.0026,0.1393,0.1392,0.95,0
"296","logols",5000,0.01,2,"topcode",-0.0033,-0.0033,0.1357,0.1356,0.94,0
"297","logols",5000,0.01,3,"mean_adj",0.0089,0.0089,0.1295,0.1297,0.952,0
"298","logols",5000,0.01,3,"median_adj",0.0101,0.0101,0.1353,0.1355,0.94,0
"299","logols",5000,0.01,3,"raw",0.0043,0.0043,0.1366,0.1366,0.956,0
"300","logols",5000,0.01,3,"topcode",0.0197,0.0197,0.1372,0.1385,0.956,0
"301","logols",5000,0.05,1,"mean_adj",0.0107,0.0107,0.148,0.1482,0.948,0
"302","logols",5000,0.05,1,"median_adj",0.0121,0.0121,0.1534,0.1538,0.94,0
"303","logols",5000,0.05,1,"raw",0.0029,0.0029,0.1452,0.1451,0.96,0
"304","logols",5000,0.05,1,"topcode",0.022,0.022,0.1446,0.1461,0.94,0
"305","logols",5000,0.05,2,"mean_adj",0.0041,0.0041,0.1512,0.1511,0.94,0
"306","logols",5000,0.05,2,"median_adj",0.0075,0.0075,0.1412,0.1413,0.958,0
"307","logols",5000,0.05,2,"raw",0.0036,0.0036,0.1584,0.1583,0.946,0
"308","logols",5000,0.05,2,"topcode",0.0066,0.0066,0.1529,0.1528,0.946,0
"309","logols",5000,0.05,3,"mean_adj",0.0237,0.0237,0.1452,0.147,0.956,0
"310","logols",5000,0.05,3,"median_adj",0.0172,0.0172,0.1441,0.145,0.958,0
"311","logols",5000,0.05,3,"raw",0.0175,0.0175,0.1552,0.1561,0.956,0
"312","logols",5000,0.05,3,"topcode",0.0075,0.0075,0.1526,0.1526,0.956,0
"313","logols",5000,0.1,1,"mean_adj",0.0017,0.0017,0.1625,0.1623,0.936,0
"314","logols",5000,0.1,1,"median_adj",0.0061,0.0061,0.1588,0.1588,0.948,0
"315","logols",5000,0.1,1,"raw",0.0141,0.0141,0.1569,0.1574,0.964,0
"316","logols",5000,0.1,1,"topcode",0.0175,0.0175,0.1609,0.1616,0.954,0
"317","logols",5000,0.1,2,"mean_adj",0.0135,0.0135,0.1596,0.16,0.954,0
"318","logols",5000,0.1,2,"median_adj",0.0083,0.0083,0.1708,0.1709,0.938,0
"319","logols",5000,0.1,2,"raw",0.0052,0.0052,0.1668,0.1667,0.942,0
"320","logols",5000,0.1,2,"topcode",0.0107,0.0107,0.1577,0.158,0.964,0
"321","logols",5000,0.1,3,"mean_adj",0.0002,0.0002,0.1612,0.161,0.96,0
"322","logols",5000,0.1,3,"median_adj",0.0233,0.0233,0.1576,0.1592,0.954,0
"323","logols",5000,0.1,3,"raw",0.0063,0.0063,0.1636,0.1636,0.95,0
"324","logols",5000,0.1,3,"topcode",0.0075,0.0075,0.166,0.166,0.954,0
