"","model","n","prop_extreme","magnitude_level","treatment","mean_est","bias","emp_se","rmse","coverage","n_fail"
"57","gamma",2000,0.05,3,"mean_adj",0.0323,0.0323,0.5147,0.5152,0.922,0
"58","gamma",2000,0.05,3,"median_adj",-0.0307,-0.0307,0.5488,0.5491,0.9398,2
"59","gamma",2000,0.05,3,"raw",0.0031,0.0031,0.573,0.5724,0.9231,19
"60","gamma",2000,0.05,3,"topcode",-0.0053,-0.0053,0.476,0.4755,0.9398,2
"61","gamma",2000,0.1,1,"mean_adj",0.0424,0.0424,0.3341,0.3364,0.934,0
"62","gamma",2000,0.1,1,"median_adj",0.0054,0.0054,0.3156,0.3153,0.938,0
"63","gamma",2000,0.1,1,"raw",-0.002,-0.002,0.3248,0.3245,0.944,0
"64","gamma",2000,0.1,1,"topcode",-0.0081,-0.0081,0.3036,0.3034,0.952,0
"65","gamma",2000,0.1,2,"mean_adj",-0.0418,-0.0418,0.3436,0.3458,0.944,0
"66","gamma",2000,0.1,2,"median_adj",-0.0172,-0.0172,0.3636,0.3636,0.9218,1
"67","gamma",2000,0.1,2,"raw",0.0021,0.0021,0.3724,0.3721,0.94,0
"68","gamma",2000,0.1,2,"topcode",0.0049,0.0049,0.3529,0.3526,0.936,0
"69","gamma",2000,0.1,3,"mean_adj",0.0002,0.0002,0.3923,0.3919,0.934,0
"70","gamma",2000,0.1,3,"median_adj",0.0158,0.0158,0.3803,0.3802,0.936,0
"71","gamma",2000,0.1,3,"raw",0.0115,0.0115,0.3403,0.3402,0.96,0
"72","gamma",2000,0.1,3,"topcode",0.0069,0.0069,0.3601,0.3598,0.934,0
"73","gamma",5000,0.01,1,"mean_adj",-0.0027,-0.0027,0.0456,0.0456,0.932,0
"74","gamma",5000,0.01,1,"median_adj",-0.0016,-0.0016,0.0403,0.0403,0.936,0
"75","gamma",5000,0.01,1,"raw",0.0038,0.0038,0.458,0.4575,0.924,0
"76","gamma",5000,0.01,1,"topcode",0.0044,0.0044,0.1045,0.1045,0.962,0
"77","gamma",5000,0.01,2,"mean_adj",0.0009,0.0009,0.0453,0.0452,0.936,0
"78","gamma",5000,0.01,2,"median_adj",-0.0045,-0.0045,0.0432,0.0434,0.936,0
"79","gamma",5000,0.01,2,"raw",-0.0136,-0.0136,0.5417,0.5414,0.934,0
"80","gamma",5000,0.01,2,"topcode",0.0021,0.0021,0.1088,0.1087,0.934,0
"81","gamma",5000,0.01,3,"mean_adj",-0.0035,-0.0035,0.0462,0.0463,0.948,0
"82","gamma",5000,0.01,3,"median_adj",-0.0057,-0.0057,0.0491,0.0494,0.948,0
"83","gamma",5000,0.01,3,"raw",-0.0346,-0.0346,0.6501,0.6504,0.9162,11
"84","gamma",5000,0.01,3,"topcode",-0.0054,-0.0054,0.1089,0.109,0.934,0
"85","gamma",5000,0.05,1,"mean_adj",0.0103,0.0103,0.2623,0.2622,0.944,0
"86","gamma",5000,0.05,1,"median_adj",0.0097,0.0097,0.2691,0.269,0.932,0
"87","gamma",5000,0.05,1,"raw",0.0019,0.0019,0.2646,0.2643,0.954,0
"88","gamma",5000,0.05,1,"topcode",0.0138,0.0138,0.2505,0.2507,0.95,0
"89","gamma",5000,0.05,2,"mean_adj",0.0001,0.0001,0.2875,0.2872,0.964,0
"90","gamma",5000,0.05,2,"median_adj",0.0009,0.0009,0.2956,0.2954,0.95,0
"91","gamma",5000,0.05,2,"raw",-0.006,-0.006,0.3122,0.3119,0.95,0
"92","gamma",5000,0.05,2,"topcode",0.0239,0.0239,0.2606,0.2614,0.948,0
"93","gamma",5000,0.05,3,"mean_adj",0.0142,0.0142,0.3117,0.3117,0.938,0
"94","gamma",5000,0.05,3,"median_adj",0.0056,0.0056,0.308,0.3078,0.948,0
"95","gamma",5000,0.05,3,"raw",-0.0004,-0.0004,0.3294,0.3291,0.944,0
"96","gamma",5000,0.05,3,"topcode",-0.0022,-0.0022,0.282,0.2817,0.952,0
"97","gamma",5000,0.1,1,"mean_adj",-0.0043,-0.0043,0.1914,0.1912,0.954,0
"98","gamma",5000,0.1,1,"median_adj",-0.0078,-0.0078,0.1924,0.1924,0.946,0
"99","gamma",5000,0.1,1,"raw",-0.0014,-0.0014,0.1968,0.1966,0.936,0
"100","gamma",5000,0.1,1,"topcode",0.0131,0.0131,0.1826,0.1829,0.95,0
"101","gamma",5000,0.1,2,"mean_adj",0.0105,0.0105,0.2219,0.2219,0.954,0
"102","gamma",5000,0.1,2,"median_adj",-0.0095,-0.0095,0.2229,0.2229,0.932,0
