"","model","n","prop_extreme","magnitude_level","treatment","mean_est","bias","emp_se","rmse","coverage","n_fail"
"40","gamma",2000,0.01,1,"topcode",0.0027,0.0027,0.163,0.1629,0.96,0
"41","gamma",2000,0.01,2,"mean_adj",0.0015,0.0015,0.0883,0.0882,0.966,0
"42","gamma",2000,0.01,2,"median_adj",0.0066,0.0066,0.0882,0.0884,0.97,0
"43","gamma",2000,0.01,2,"raw",-0.0157,-0.0157,0.8643,0.8635,0.8793,36
"44","gamma",2000,0.01,2,"topcode",0.0042,0.0042,0.1807,0.1806,0.946,0
"45","gamma",2000,0.01,3,"mean_adj",-0.0013,-0.0013,0.092,0.0919,0.976,0
"46","gamma",2000,0.01,3,"median_adj",-0.006,-0.006,0.0994,0.0995,0.972,0
"47","gamma",2000,0.01,3,"raw",-0.0155,-0.0155,1.0387,1.0376,0.867,79
"48","gamma",2000,0.01,3,"topcode",0.0028,0.0028,0.2,0.1998,0.956,0
"49","gamma",2000,0.05,1,"mean_adj",0.0257,0.0257,0.4166,0.417,0.934,0
"50","gamma",2000,0.05,1,"median_adj",-0.0021,-0.0021,0.4113,0.4109,0.944,0
"51","gamma",2000,0.05,1,"raw",-0.0173,-0.0173,0.4323,0.4322,0.934,0
"52","gamma",2000,0.05,1,"topcode",0.0188,0.0188,0.4079,0.408,0.94,0
"53","gamma",2000,0.05,2,"mean_adj",0.0082,0.0082,0.4921,0.4916,0.94,0
"54","gamma",2000,0.05,2,"median_adj",0.0302,0.0302,0.4878,0.4882,0.92,0
"55","gamma",2000,0.05,2,"raw",0.0139,0.0139,0.4957,0.4954,0.9312,6
"56","gamma",2000,0.05,2,"topcode",-0.033,-0.033,0.4658,0.4665,0.938,0
"57","gamma",2000,0.05,3,"mean_adj",-0.0313,-0.0313,0.5294,0.5298,0.93,0
"58","gamma",2000,0.05,3,"median_adj",0.0051,0.0051,0.5372,0.5367,0.9276,3
"59","gamma",2000,0.05,3,"raw",0.006,0.006,0.5498,0.5492,0.9343,13
"60","gamma",2000,0.05,3,"topcode",-0.0287,-0.0287,0.4692,0.4696,0.9519,1
"61","gamma",2000,0.1,1,"mean_adj",-0.0346,-0.0346,0.33,0.3314,0.932,0
"62","gamma",2000,0.1,1,"median_adj",0.0193,0.0193,0.3429,0.3431,0.92,0
"63","gamma",2000,0.1,1,"raw",0.0033,0.0033,0.3123,0.312,0.952,0
"64","gamma",2000,0.1,1,"topcode",0.021,0.021,0.3123,0.3127,0.938,0
"65","gamma",2000,0.1,2,"mean_adj",-0.008,-0.008,0.3505,0.3502,0.9339,1
"66","gamma",2000,0.1,2,"median_adj",-0.0266,-0.0266,0.3293,0.3301,0.958,0
"67","gamma",2000,0.1,2,"raw",0.0002,0.0002,0.3487,0.3483,0.948,0
"68","gamma",2000,0.1,2,"topcode",-0.0051,-0.0051,0.3454,0.3451,0.944,0
"69","gamma",2000,0.1,3,"mean_adj",-0.023,-0.023,0.3916,0.3919,0.922,0
"70","gamma",2000,0.1,3,"median_adj",0.0328,0.0328,0.3723,0.3734,0.948,0
"71","gamma",2000,0.1,3,"raw",0.0053,0.0053,0.3684,0.3681,0.944,0
"72","gamma",2000,0.1,3,"topcode",-0.0295,-0.0295,0.3547,0.3556,0.942,0
"73","gamma",5000,0.01,1,"mean_adj",0.0017,0.0017,0.0452,0.0452,0.974,0
"74","gamma",5000,0.01,1,"median_adj",-0.001,-0.001,0.0416,0.0416,0.984,0
"75","gamma",5000,0.01,1,"raw",0.0083,0.0083,0.4225,0.4222,0.932,0
"76","gamma",5000,0.01,1,"topcode",0.0033,0.0033,0.1025,0.1024,0.956,0
"77","gamma",5000,0.01,2,"mean_adj",-0.0031,-0.0031,0.0473,0.0473,0.962,0
"78","gamma",5000,0.01,2,"median_adj",-0.0021,-0.0021,0.0451,0.0451,0.978,0
"79","gamma",5000,0.01,2,"raw",0.0053,0.0053,0.5674,0.5669,0.91,0
"80","gamma",5000,0.01,2,"topcode",-0.0038,-0.0038,0.091,0.091,0.978,0
"81","gamma",5000,0.01,3,"mean_adj",-0.0005,-0.0005,0.0415,0.0414,0.986,0
"82","gamma",5000,0.01,3,"median_adj",0.0001,0.0001,0.0431,0.0431,0.988,0
"83","gamma",5000,0.01,3,"raw",0.0093,0.0093,0.6321,0.6316,0.9145,9
"84","gamma",5000,0.01,3,"topcode",0.0011,0.0011,0.1034,0.1033,0.97,0
"85","gamma",5000,0.05,1,"mean_adj",-0.004,-0.004,0.2484,0.2482,0.946,0
"86","gamma",5000,0.05,1,"median_adj",0.0038,0.0038,0.2472,0.2469,0.958,0
"87","gamma",5000,0.05,1,"raw",0.0119,0.0119,0.274,0.274,0.948,0
"88","gamma",5000,0.05,1,"topcode",0.0042,0.0042,0.2478,0.2475,0.938,0
"89","gamma",5000,0.05,2,"mean_adj",-0.0058,-0.0058,0.293,0.2928,0.934,0
"90","gamma",5000,0.05,2,"median_adj",-0.0013,-0.0013,0.2836,0.2833,0.95,0
"91","gamma",5000,0.05,2,"raw",-0.0169,-0.0169,0.3092,0.3094,0.952,0
"92","gamma",5000,0.05,2,"topcode",-0.0147,-0.0147,0.2659,0.266,0.958,0
"93","gamma",5000,0.05,3,"mean_adj",-0.0028,-0.0028,0.3162,0.3159,0.954,0
"94","gamma",5000,0.05,3,"median_adj",0.0009,0.0009,0.306,0.3057,0.934,0
"95","gamma",5000,0.05,3,"raw",-0.0077,-0.0077,0.3342,0.334,0.948,0
"96","gamma",5000,0.05,3,"topcode",0.0069,0.0069,0.3031,0.3029,0.922,0
"97","gamma",5000,0.1,1,"mean_adj",-0.0001,-0.0001,0.2026,0.2024,0.932,0
"98","gamma",5000,0.1,1,"median_adj",-0.0032,-0.0032,0.1956,0.1954,0.952,0
"99","gamma",5000,0.1,1,"raw",0.0057,0.0057,0.1997,0.1996,0.938,0
"100","gamma",5000,0.1,1,"topcode",0.0147,0.0147,0.1886,0.189,0.95,0
"101","gamma",5000,0.1,2,"mean_adj",-0.0097,-0.0097,0.2152,0.2152,0.952,0
"102","gamma",5000,0.1,2,"median_adj",0.0008,0.0008,0.2205,0.2203,0.96,0
"103","gamma",5000,0.1,2,"raw",-0.0042,-0.0042,0.2166,0.2164,0.95,0
"104","gamma",5000,0.1,2,"topcode",-0.0034,-0.0034,0.2139,0.2137,0.952,0
"105","gamma",5000,0.1,3,"mean_adj",-0.0082,-0.0082,0.2389,0.2388,0.942,0
"106","gamma",5000,0.1,3,"median_adj",0.0247,0.0247,0.2365,0.2375,0.94,0
"107","gamma",5000,0.1,3,"raw",0.0001,0.0001,0.234,0.2338,0.938,0
"108","gamma",5000,0.1,3,"topcode",-0.0054,-0.0054,0.2286,0.2284,0.954,0
"109","logit",1000,0.01,1,"mean_adj",-0.0096,-0.0096,0.1812,0.1813,0.954,0
"110","logit",1000,0.01,1,"median_adj",0.0017,0.0017,0.1808,0.1806,0.948,0
"111","logit",1000,0.01,1,"raw",-0.0066,-0.0066,0.1851,0.1851,0.946,0
"112","logit",1000,0.01,1,"topcode",0.0049,0.0049,0.1779,0.1778,0.962,0
"113","logit",1000,0.01,2,"mean_adj",0.0042,0.0042,0.1744,0.1742,0.954,0
"114","logit",1000,0.01,2,"median_adj",-0.0014,-0.0014,0.1822,0.182,0.962,0
"115","logit",1000,0.01,2,"raw",-0.0048,-0.0048,0.1886,0.1885,0.952,0
"116","logit",1000,0.01,2,"topcode",-0.0017,-0.0017,0.1797,0.1795,0.966,0
"117","logit",1000,0.01,3,"mean_adj",0.001,0.001,0.1931,0.1929,0.954,0
"118","logit",1000,0.01,3,"median_adj",-0.0013,-0.0013,0.1797,0.1795,0.964,0
"119","logit",1000,0.01,3,"raw",0.0083,0.0083,0.1859,0.1859,0.944,0
"120","logit",1000,0.01,3,"topcode",0.0058,0.0058,0.187,0.1869,0.946,0
"121","logit",1000,0.05,1,"mean_adj",-0.0134,-0.0134,0.1951,0.1954,0.93,0
"122","logit",1000,0.05,1,"median_adj",0.0077,0.0077,0.2041,0.204,0.928,0
"123","logit",1000,0.05,1,"raw",-0.0006,-0.0006,0.1846,0.1844,0.956,0
"124","logit",1000,0.05,1,"topcode",-0.0045,-0.0045,0.1892,0.189,0.938,0
"125","logit",1000,0.05,2,"mean_adj",-0.0082,-0.0082,0.1821,0.1821,0.958,0
"126","logit",1000,0.05,2,"median_adj",0.0144,0.0144,0.1822,0.1825,0.962,0
"127","logit",1000,0.05,2,"raw",0.007,0.007,0.1759,0.1759,0.97,0
"128","logit",1000,0.05,2,"topcode",-0.0088,-0.0088,0.1812,0.1813,0.968,0
"129","logit",1000,0.05,3,"mean_adj",-0.0041,-0.0041,0.1804,0.1803,0.954,0
"130","logit",1000,0.05,3,"median_adj",0.0048,0.0048,0.1825,0.1824,0.972,0
"131","logit",1000,0.05,3,"raw",0.004,0.004,0.1852,0.1851,0.954,0
"132","logit",1000,0.05,3,"topcode",-0.0111,-0.0111,0.1765,0.1767,0.962,0
"133","logit",1000,0.1,1,"mean_adj",-0.0008,-0.0008,0.1825,0.1823,0.964,0
"134","logit",1000,0.1,1,"median_adj",0.0044,0.0044,0.1929,0.1927,0.94,0
"135","logit",1000,0.1,1,"raw",0.0139,0.0139,0.1907,0.191,0.946,0
"136","logit",1000,0.1,1,"topcode",-0.0033,-0.0033,0.1825,0.1823,0.964,0
"137","logit",1000,0.1,2,"mean_adj",-0.0034,-0.0034,0.1844,0.1843,0.962,0
"138","logit",1000,0.1,2,"median_adj",0.0079,0.0079,0.1846,0.1846,0.952,0
"139","logit",1000,0.1,2,"raw",0.0006,0.0006,0.194,0.1938,0.958,0
"140","logit",1000,0.1,2,"topcode",-0.0014,-0.0014,0.1856,0.1854,0.956,0
"141","logit",1000,0.1,3,"mean_adj",0.0067,0.0067,0.1769,0.1769,0.968,0
"142","logit",1000,0.1,3,"median_adj",-0.0061,-0.0061,0.1737,0.1736,0.97,0
"143","logit",1000,0.1,3,"raw",0.0109,0.0109,0.1675,0.1677,0.974,0
"144","logit",1000,0.1,3,"topcode",-0.0029,-0.0029,0.1824,0.1822,0.97,0
"145","logit",2000,0.01,1,"mean_adj",-0.0103,-0.0103,0.1394,0.1396,0.928,0
"146","logit",2000,0.01,1,"median_adj",-0.0069,-0.0069,0.1294,0.1294,0.946,0
"147","logit",2000,0.01,1,"raw",0.0095,0.0095,0.1306,0.1308,0.95,0
"148","logit",2000,0.01,1,"topcode",0.0075,0.0075,0.1341,0.1342,0.964,0
"149","logit",2000,0.01,2,"mean_adj",-0.0009,-0.0009,0.1276,0.1274,0.962,0
"150","logit",2000,0.01,2,"median_adj",0.0015,0.0015,0.1304,0.1303,0.948,0
"151","logit",2000,0.01,2,"raw",-0.0062,-0.0062,0.1289,0.1289,0.964,0
"152","logit",2000,0.01,2,"topcode",0.0002,0.0002,0.1336,0.1334,0.954,0
"153","logit",2000,0.01,3,"mean_adj",-0.0011,-0.0011,0.1293,0.1292,0.944,0
"154","logit",2000,0.01,3,"median_adj",0.0073,0.0073,0.1272,0.1273,0.96,0
"155","logit",2000,0.01,3,"raw",-0.0038,-0.0038,0.125,0.1249,0.968,0
"156","logit",2000,0.01,3,"topcode",-0.003,-0.003,0.1319,0.1318,0.966,0
"157","logit",2000,0.05,1,"mean_adj",-0.0016,-0.0016,0.1299,0.1298,0.962,0
"158","logit",2000,0.05,1,"median_adj",0.0025,0.0025,0.1304,0.1303,0.958,0
"159","logit",2000,0.05,1,"raw",-0.0048,-0.0048,0.1258,0.1258,0.968,0
"160","logit",2000,0.05,1,"topcode",-0.0003,-0.0003,0.124,0.1239,0.96,0
"161","logit",2000,0.05,2,"mean_adj",-0.0052,-0.0052,0.1233,0.1233,0.968,0
"162","logit",2000,0.05,2,"median_adj",-0.0022,-0.0022,0.1285,0.1284,0.948,0
"163","logit",2000,0.05,2,"raw",0.0034,0.0034,0.1263,0.1262,0.958,0
"164","logit",2000,0.05,2,"topcode",-0.0095,-0.0095,0.1242,0.1244,0.966,0
"165","logit",2000,0.05,3,"mean_adj",-0.0065,-0.0065,0.128,0.128,0.964,0
"166","logit",2000,0.05,3,"median_adj",-0.0044,-0.0044,0.1282,0.1281,0.952,0
"167","logit",2000,0.05,3,"raw",-0.002,-0.002,0.1334,0.1333,0.954,0
"168","logit",2000,0.05,3,"topcode",0.0019,0.0019,0.1296,0.1295,0.968,0
"169","logit",2000,0.1,1,"mean_adj",-0.0144,-0.0144,0.1287,0.1294,0.964,0
"170","logit",2000,0.1,1,"median_adj",-0.012,-0.012,0.1309,0.1313,0.958,0
"171","logit",2000,0.1,1,"raw",0.0063,0.0063,0.1302,0.1302,0.958,0
"172","logit",2000,0.1,1,"topcode",0.0005,0.0005,0.1298,0.1296,0.946,0
"173","logit",2000,0.1,2,"mean_adj",0.0027,0.0027,0.1237,0.1236,0.964,0
"174","logit",2000,0.1,2,"median_adj",-0.0026,-0.0026,0.1355,0.1354,0.944,0
"175","logit",2000,0.1,2,"raw",-0.0021,-0.0021,0.1348,0.1347,0.948,0
"176","logit",2000,0.1,2,"topcode",0.0019,0.0019,0.13,0.1299,0.952,0
"177","logit",2000,0.1,3,"mean_adj",0.0011,0.0011,0.1267,0.1265,0.972,0
"178","logit",2000,0.1,3,"median_adj",0.0102,0.0102,0.1275,0.1278,0.96,0
"179","logit",2000,0.1,3,"raw",-0.0009,-0.0009,0.1334,0.1333,0.93,0
"180","logit",2000,0.1,3,"topcode",-0.0005,-0.0005,0.1313,0.1312,0.956,0
"181","logit",5000,0.01,1,"mean_adj",-0.002,-0.002,0.0824,0.0824,0.958,0
"182","logit",5000,0.01,1,"median_adj",-0.0003,-0.0003,0.0836,0.0835,0.942,0
"183","logit",5000,0.01,1,"raw",0.0005,0.0005,0.0819,0.0819,0.946,0
"184","logit",5000,0.01,1,"topcode",0.0043,0.0043,0.082,0.0821,0.956,0
"185","logit",5000,0.01,2,"mean_adj",0.0011,0.0011,0.0812,0.0812,0.96,0
"186","logit",5000,0.01,2,"median_adj",0.0048,0.0048,0.083,0.0831,0.948,0
"187","logit",5000,0.01,2,"raw",-0.0074,-0.0074,0.0849,0.0851,0.944,0
"188","logit",5000,0.01,2,"topcode",-0.0013,-0.0013,0.087,0.0869,0.936,0
"189","logit",5000,0.01,3,"mean_adj",0.0031,0.0031,0.0813,0.0813,0.96,0
"190","logit",5000,0.01,3,"median_adj",-0.0048,-0.0048,0.0848,0.0848,0.944,0
"191","logit",5000,0.01,3,"raw",-0.0058,-0.0058,0.0815,0.0817,0.956,0
"192","logit",5000,0.01,3,"topcode",-0.0077,-0.0077,0.0822,0.0824,0.952,0
"193","logit",5000,0.05,1,"mean_adj",-0.0084,-0.0084,0.0808,0.0811,0.956,0
"194","logit",5000,0.05,1,"median_adj",-0.0013,-0.0013,0.0823,0.0822,0.946,0
"195","logit",5000,0.05,1,"raw",0.0007,0.0007,0.0855,0.0854,0.946,0
"196","logit",5000,0.05,1,"topcode",-0.0048,-0.0048,0.0828,0.0828,0.966,0
"197","logit",5000,0.05,2,"mean_adj",-0.0012,-0.0012,0.0808,0.0808,0.966,0
"198","logit",5000,0.05,2,"median_adj",-0.0004,-0.0004,0.0853,0.0852,0.944,0
"199","logit",5000,0.05,2,"raw",0,0,0.083,0.0829,0.964,0
"200","logit",5000,0.05,2,"topcode",-0.0026,-0.0026,0.0787,0.0787,0.962,0
"201","logit",5000,0.05,3,"mean_adj",0.0046,0.0046,0.0802,0.0802,0.962,0
"202","logit",5000,0.05,3,"median_adj",-0.0084,-0.0084,0.0824,0.0827,0.942,0
"203","logit",5000,0.05,3,"raw",0.0033,0.0033,0.086,0.086,0.95,0
"204","logit",5000,0.05,3,"topcode",0.0022,0.0022,0.0853,0.0853,0.94,0
"205","logit",5000,0.1,1,"mean_adj",-0.0033,-0.0033,0.0789,0.0789,0.958,0
"206","logit",5000,0.1,1,"median_adj",0.0012,0.0012,0.0804,0.0804,0.958,0
"207","logit",5000,0.1,1,"raw",-0.0072,-0.0072,0.0838,0.084,0.96,0
"208","logit",5000,0.1,1,"topcode",0.0005,0.0005,0.0831,0.083,0.952,0
"209","logit",5000,0.1,2,"mean_adj",0.0025,0.0025,0.0845,0.0845,0.95,0
"210","logit",5000,0.1,2,"median_adj",-0.0047,-0.0047,0.0792,0.0792,0.954,0
"211","logit",5000,0.1,2,"raw",-0.0014,-0.0014,0.0866,0.0865,0.944,0
"212","logit",5000,0.1,2,"topcode",-0.0002,-0.0002,0.0817,0.0816,0.956,0
"213","logit",5000,0.1,3,"mean_adj",0.0028,0.0028,0.0872,0.0871,0.936,0
"214","logit",5000,0.1,3,"median_adj",-0.0036,-0.0036,0.0817,0.0817,0.952,0
"215","logit",5000,0.1,3,"raw",0.0006,0.0006,0.0849,0.0848,0.948,0
"216","logit",5000,0.1,3,"topcode",0.004,0.004,0.0774,0.0775,0.962,0
"217","logols",1000,0.01,1,"mean_adj",-0.0115,-0.0115,0.291,0.291,0.962,0
"218","logols",1000,0.01,1,"median_adj",0.012,0.012,0.2933,0.2932,0.962,0
"219","logols",1000,0.01,1,"raw",-0.0001,-0.0001,0.3037,0.3034,0.954,0
"220","logols",1000,0.01,1,"topcode",0.022,0.022,0.2913,0.2918,0.964,0
"221","logols",1000,0.01,2,"mean_adj",0.015,0.015,0.2822,0.2824,0.966,0
"222","logols",1000,0.01,2,"median_adj",0.0056,0.0056,0.2985,0.2982,0.97,0
"223","logols",1000,0.01,2,"raw",-0.0051,-0.0051,0.3179,0.3177,0.96,0
"224","logols",1000,0.01,2,"topcode",0.0023,0.0023,0.2943,0.2941,0.964,0
"225","logols",1000,0.01,3,"mean_adj",0.0183,0.0183,0.3169,0.3171,0.958,0
"226","logols",1000,0.01,3,"median_adj",0.0062,0.0062,0.2908,0.2906,0.97,0
"227","logols",1000,0.01,3,"raw",0.0225,0.0225,0.3088,0.3093,0.946,0
"228","logols",1000,0.01,3,"topcode",0.0176,0.0176,0.3012,0.3014,0.966,0
"229","logols",1000,0.05,1,"mean_adj",-0.004,-0.004,0.3398,0.3395,0.954,0
"230","logols",1000,0.05,1,"median_adj",0.0274,0.0274,0.3413,0.3421,0.936,0
"231","logols",1000,0.05,1,"raw",0.0082,0.0082,0.3293,0.3291,0.962,0
"232","logols",1000,0.05,1,"topcode",-0.0008,-0.0008,0.3309,0.3306,0.946,0
"233","logols",1000,0.05,2,"mean_adj",0.0046,0.0046,0.3262,0.326,0.964,0
"234","logols",1000,0.05,2,"median_adj",0.0367,0.0367,0.3244,0.3262,0.95,0
"235","logols",1000,0.05,2,"raw",0.0095,0.0095,0.328,0.3279,0.964,0
"236","logols",1000,0.05,2,"topcode",-0.012,-0.012,0.3255,0.3254,0.964,0
"237","logols",1000,0.05,3,"mean_adj",0.0102,0.0102,0.329,0.3288,0.964,0
"238","logols",1000,0.05,3,"median_adj",0.0177,0.0177,0.3184,0.3186,0.966,0
"239","logols",1000,0.05,3,"raw",0.0233,0.0233,0.3386,0.339,0.956,0
"240","logols",1000,0.05,3,"topcode",-0.0171,-0.0171,0.3373,0.3374,0.952,0
"241","logols",1000,0.1,1,"mean_adj",-0.0114,-0.0114,0.3529,0.3527,0.958,0
"242","logols",1000,0.1,1,"median_adj",0.0225,0.0225,0.3632,0.3636,0.95,0
"243","logols",1000,0.1,1,"raw",0.0275,0.0275,0.3608,0.3615,0.966,0
"244","logols",1000,0.1,1,"topcode",-0.0109,-0.0109,0.3595,0.3593,0.952,0
"245","logols",1000,0.1,2,"mean_adj",-0.0074,-0.0074,0.3733,0.373,0.946,0
"246","logols",1000,0.1,2,"median_adj",0.0244,0.0244,0.3573,0.3578,0.948,0
"247","logols",1000,0.1,2,"raw",-0.0114,-0.0114,0.3749,0.3747,0.95,0
"248","logols",1000,0.1,2,"topcode",0.0106,0.0106,0.3677,0.3674,0.946,0
"249","logols",1000,0.1,3,"mean_adj",0.046,0.046,0.3728,0.3753,0.938,0
"250","logols",1000,0.1,3,"median_adj",-0.006,-0.006,0.3491,0.3488,0.97,0
"251","logols",1000,0.1,3,"raw",0.0139,0.0139,0.364,0.3639,0.956,0
"252","logols",1000,0.1,3,"topcode",-0.0189,-0.0189,0.365,0.3651,0.958,0
"253","logols",2000,0.01,1,"mean_adj",-0.0059,-0.0059,0.2283,0.2282,0.946,0
"254","logols",2000,0.01,1,"median_adj",-0.0038,-0.0038,0.2093,0.2092,0.948,0
"255","logols",2000,0.01,1,"raw",0.0239,0.0239,0.2165,0.2176,0.948,0
"256","logols",2000,0.01,1,"topcode",0.0269,0.0269,0.2204,0.2218,0.958,0
"257","logols",2000,0.01,2,"mean_adj",0.008,0.008,0.2073,0.2073,0.966,0
"258","logols",2000,0.01,2,"median_adj",0.0135,0.0135,0.2147,0.2149,0.942,0
"259","logols",2000,0.01,2,"raw",0.0004,0.0004,0.2185,0.2183,0.964,0
"260","logols",2000,0.01,2,"topcode",0.0137,0.0137,0.2166,0.2168,0.968,0
"261","logols",2000,0.01,3,"mean_adj",0.0079,0.0079,0.2105,0.2105,0.948,0
"262","logols",2000,0.01,3,"median_adj",0.0212,0.0212,0.2057,0.2065,0.97,0
"263","logols",2000,0.01,3,"raw",0.0025,0.0025,0.2092,0.209,0.97,0
"264","logols",2000,0.01,3,"topcode",0.0029,0.0029,0.2217,0.2215,0.966,0
"265","logols",2000,0.05,1,"mean_adj",0.012,0.012,0.2268,0.2269,0.956,0
"266","logols",2000,0.05,1,"median_adj",0.0103,0.0103,0.2301,0.2301,0.952,0
"267","logols",2000,0.05,1,"raw",0.0022,0.0022,0.2268,0.2266,0.96,0
"268","logols",2000,0.05,1,"topcode",0.0154,0.0154,0.2283,0.2286,0.972,0
"269","logols",2000,0.05,2,"mean_adj",-0.0019,-0.0019,0.2154,0.2152,0.974,0
"270","logols",2000,0.05,2,"median_adj",0.0089,0.0089,0.2291,0.229,0.964,0
"271","logols",2000,0.05,2,"raw",0.0099,0.0099,0.2275,0.2275,0.962,0
"272","logols",2000,0.05,2,"topcode",-0.0082,-0.0082,0.23,0.2299,0.96,0
"273","logols",2000,0.05,3,"mean_adj",-0.0065,-0.0065,0.2301,0.2299,0.96,0
"274","logols",2000,0.05,3,"median_adj",0.0002,0.0002,0.2277,0.2275,0.96,0
"275","logols",2000,0.05,3,"raw",0.0055,0.0055,0.2347,0.2345,0.96,0
"276","logols",2000,0.05,3,"topcode",0.0159,0.0159,0.2385,0.2388,0.97,0
"277","logols",2000,0.1,1,"mean_adj",-0.0141,-0.0141,0.2518,0.2519,0.958,0
"278","logols",2000,0.1,1,"median_adj",-0.0095,-0.0095,0.231,0.2309,0.978,0
"279","logols",2000,0.1,1,"raw",0.0191,0.0191,0.252,0.2524,0.958,0
"280","logols",2000,0.1,1,"topcode",0.0049,0.0049,0.2549,0.2546,0.958,0
"281","logols",2000,0.1,2,"mean_adj",0.024,0.024,0.2527,0.2535,0.95,0
"282","logols",2000,0.1,2,"median_adj",0.0072,0.0072,0.265,0.2649,0.934,0
"283","logols",2000,0.1,2,"raw",0.0165,0.0165,0.2703,0.2705,0.944,0
"284","logols",2000,0.1,2,"topcode",0.0132,0.0132,0.2558,0.2559,0.948,0
"285","logols",2000,0.1,3,"mean_adj",0.0138,0.0138,0.2597,0.2598,0.948,0
"286","logols",2000,0.1,3,"median_adj",0.0326,0.0326,0.2479,0.2498,0.956,0
"287","logols",2000,0.1,3,"raw",0.0106,0.0106,0.2657,0.2656,0.948,0
"288","logols",2000,0.1,3,"topcode",-0.0049,-0.0049,0.2589,0.2587,0.958,0
"289","logols",5000,0.01,1,"mean_adj",0.0062,0.0062,0.1318,0.1318,0.958,0
"290","logols",5000,0.01,1,"median_adj",0.0088,0.0088,0.1334,0.1335,0.952,0
"291","logols",5000,0.01,1,"raw",0.0098,0.0098,0.134,0.1342,0.964,0
"292","logols",5000,0.01,1,"topcode",0.0163,0.0163,0.1359,0.1367,0.956,0
