"","model","n","prop_extreme","magnitude_level","treatment","mean_est","bias","emp_se","rmse","coverage","n_fail"
"1","gamma",1000,0.01,1,"mean_adj",0.0068,0.0068,0.1389,0.1389,0.968,0
"2","gamma",1000,0.01,1,"median_adj",0.0036,0.0036,0.1479,0.1478,0.964,0
"3","gamma",1000,0.01,1,"raw",0.0471,0.0471,0.8408,0.8413,0.8866,15
"4","gamma",1000,0.01,1,"topcode",0.0012,0.0012,0.2494,0.2491,0.944,0
"5","gamma",1000,0.01,2,"mean_adj",-0.0038,-0.0038,0.1445,0.1444,0.978,0
"6","gamma",1000,0.01,2,"median_adj",-0.002,-0.002,0.1371,0.137,0.974,0
"7","gamma",1000,0.01,2,"raw",0.0547,0.0547,2.5198,2.5171,0.8037,118
"8","gamma",1000,0.01,2,"topcode",-0.0033,-0.0033,0.2812,0.281,0.95,0
"9","gamma",1000,0.01,3,"mean_adj",0.0012,0.0012,0.1712,0.1711,0.962,0
"10","gamma",1000,0.01,3,"median_adj",0.0037,0.0037,0.1614,0.1613,0.964,0
"11","gamma",1000,0.01,3,"raw",0.0234,0.0234,1.28,1.2779,0.8127,217
"12","gamma",1000,0.01,3,"topcode",0.0087,0.0087,0.262,0.2619,0.954,0
"13","gamma",1000,0.05,1,"mean_adj",0.0095,0.0095,0.6549,0.6543,0.9016,2
"14","gamma",1000,0.05,1,"median_adj",0.0217,0.0217,0.6412,0.6409,0.9157,2
"15","gamma",1000,0.05,1,"raw",-0.0286,-0.0286,0.6576,0.6576,0.9271,6
"16","gamma",1000,0.05,1,"topcode",0.0098,0.0098,0.5992,0.5987,0.9178,1
"17","gamma",1000,0.05,2,"mean_adj",-0.0577,-0.0577,0.7413,0.7427,0.9124,9
"18","gamma",1000,0.05,2,"median_adj",-0.0067,-0.0067,0.7288,0.7281,0.9076,2
"19","gamma",1000,0.05,2,"raw",-0.0729,-0.0729,0.734,0.7368,0.9199,38
"20","gamma",1000,0.05,2,"topcode",-0.0286,-0.0286,0.7159,0.7157,0.9097,13
"21","gamma",1000,0.05,3,"mean_adj",-0.0422,-0.0422,0.8012,0.8015,0.8954,22
"22","gamma",1000,0.05,3,"median_adj",0.0191,0.0191,0.832,0.8314,0.8884,25
"23","gamma",1000,0.05,3,"raw",-0.0138,-0.0138,0.823,0.8221,0.9093,70
"24","gamma",1000,0.05,3,"topcode",-0.0122,-0.0122,0.7393,0.7386,0.9224,23
"25","gamma",1000,0.1,1,"mean_adj",-0.0043,-0.0043,0.4588,0.4583,0.932,0
"26","gamma",1000,0.1,1,"median_adj",-0.0043,-0.0043,0.4811,0.4807,0.934,0
"27","gamma",1000,0.1,1,"raw",0.0285,0.0285,0.4769,0.4772,0.922,0
"28","gamma",1000,0.1,1,"topcode",-0.0408,-0.0408,0.4531,0.4545,0.948,0
"29","gamma",1000,0.1,2,"mean_adj",-0.001,-0.001,0.5267,0.5262,0.9257,2
"30","gamma",1000,0.1,2,"median_adj",0.0003,0.0003,0.5301,0.5295,0.9178,1
"31","gamma",1000,0.1,2,"raw",-0.0292,-0.0292,0.508,0.5083,0.9398,2
"32","gamma",1000,0.1,2,"topcode",0.0328,0.0328,0.522,0.5225,0.9218,1
"33","gamma",1000,0.1,3,"mean_adj",0.0151,0.0151,0.5813,0.5809,0.9165,9
"34","gamma",1000,0.1,3,"median_adj",-0.0403,-0.0403,0.5695,0.5704,0.9296,3
"35","gamma",1000,0.1,3,"raw",-0.0571,-0.0571,0.5604,0.5628,0.9293,5
"36","gamma",1000,0.1,3,"topcode",-0.0768,-0.0768,0.5215,0.5266,0.938,0
"37","gamma",2000,0.01,1,"mean_adj",0.0051,0.0051,0.0971,0.0971,0.972,0
"38","gamma",2000,0.01,1,"median_adj",-0.0024,-0.0024,0.0757,0.0756,0.982,0
"39","gamma",2000,0.01,1,"raw",-0.0337,-0.0337,0.7324,0.7325,0.8672,3
