"","model","n","prop_extreme","magnitude_level","treatment","mean_est","bias","emp_se","rmse","coverage","n_fail"
"1","gamma",1000,0.01,1,"mean_adj",-0.0056,-0.0056,0.1302,0.1302,0.964,0
"2","gamma",1000,0.01,1,"median_adj",0.0007,0.0007,0.1266,0.1264,0.976,0
"3","gamma",1000,0.01,1,"raw",0.0658,0.0658,0.8623,0.8639,0.8425,11
"4","gamma",1000,0.01,1,"topcode",-0.0131,-0.0131,0.239,0.2391,0.948,0
"5","gamma",1000,0.01,2,"mean_adj",0.004,0.004,0.1378,0.1377,0.972,0
"6","gamma",1000,0.01,2,"median_adj",-0.0016,-0.0016,0.1367,0.1365,0.956,0
"7","gamma",1000,0.01,2,"raw",0.0171,0.0171,1.0814,1.0802,0.8127,105
"8","gamma",1000,0.01,2,"topcode",-0.0163,-0.0163,0.249,0.2493,0.966,0
"9","gamma",1000,0.01,3,"mean_adj",0.0037,0.0037,0.1396,0.1395,0.974,0
"10","gamma",1000,0.01,3,"median_adj",0.0046,0.0046,0.1508,0.1507,0.962,0
"11","gamma",1000,0.01,3,"raw",-0.1235,-0.1235,2.074,2.0743,0.8026,196
"12","gamma",1000,0.01,3,"topcode",0.0069,0.0069,0.2835,0.2833,0.944,0
"13","gamma",1000,0.05,1,"mean_adj",-0.0169,-0.0169,0.5877,0.5873,0.9138,1
"14","gamma",1000,0.05,1,"median_adj",0.0077,0.0077,0.5724,0.5719,0.93,0
"15","gamma",1000,0.05,1,"raw",0.0475,0.0475,0.6783,0.6793,0.8954,3
"16","gamma",1000,0.05,1,"topcode",0.0022,0.0022,0.6112,0.6105,0.9235,3
"17","gamma",1000,0.05,2,"mean_adj",-0.009,-0.009,0.7513,0.7506,0.881,4
"18","gamma",1000,0.05,2,"median_adj",0.0171,0.0171,0.7044,0.7039,0.8931,4
"19","gamma",1000,0.05,2,"raw",0.0362,0.0362,0.7861,0.7861,0.8932,41
"20","gamma",1000,0.05,2,"topcode",-0.0303,-0.0303,0.6913,0.6912,0.9202,11
"21","gamma",1000,0.05,3,"mean_adj",-0.0249,-0.0249,0.8121,0.8117,0.8787,22
"22","gamma",1000,0.05,3,"median_adj",0.0178,0.0178,0.7829,0.7823,0.9085,19
"23","gamma",1000,0.05,3,"raw",-0.0332,-0.0332,0.8418,0.8415,0.897,73
"24","gamma",1000,0.05,3,"topcode",0.212,0.212,4.3114,4.3121,0.9226,22
"25","gamma",1000,0.1,1,"mean_adj",0.0254,0.0254,0.4421,0.4423,0.946,0
"26","gamma",1000,0.1,1,"median_adj",0.0069,0.0069,0.472,0.4716,0.926,0
"27","gamma",1000,0.1,1,"raw",0.0171,0.0171,0.4568,0.4567,0.948,0
"28","gamma",1000,0.1,1,"topcode",0.029,0.029,0.4566,0.457,0.932,0
"29","gamma",1000,0.1,2,"mean_adj",0.0027,0.0027,0.5203,0.5197,0.9296,3
"30","gamma",1000,0.1,2,"median_adj",0.0273,0.0273,0.5645,0.5646,0.898,0
"31","gamma",1000,0.1,2,"raw",-0.0343,-0.0343,0.5086,0.5092,0.9438,2
"32","gamma",1000,0.1,2,"topcode",-0.0173,-0.0173,0.4812,0.481,0.9357,2
"33","gamma",1000,0.1,3,"mean_adj",0.017,0.017,0.5689,0.5686,0.9155,3
"34","gamma",1000,0.1,3,"median_adj",-0.0079,-0.0079,0.575,0.5745,0.915,6
"35","gamma",1000,0.1,3,"raw",0.0081,0.0081,0.5583,0.5578,0.9356,3
"36","gamma",1000,0.1,3,"topcode",-0.0119,-0.0119,0.5459,0.5455,0.9378,2
"37","gamma",2000,0.01,1,"mean_adj",-0.0003,-0.0003,0.0788,0.0788,0.978,0
"38","gamma",2000,0.01,1,"median_adj",-0.0039,-0.0039,0.0754,0.0754,0.974,0
"39","gamma",2000,0.01,1,"raw",-0.0414,-0.0414,0.6251,0.6258,0.8976,2
"40","gamma",2000,0.01,1,"topcode",-0.0018,-0.0018,0.1584,0.1582,0.954,0
"41","gamma",2000,0.01,2,"mean_adj",-0.0072,-0.0072,0.0776,0.0779,0.976,0
"42","gamma",2000,0.01,2,"median_adj",-0.0098,-0.0098,0.0801,0.0806,0.964,0
"43","gamma",2000,0.01,2,"raw",0.0336,0.0336,0.8688,0.8686,0.8613,24
"44","gamma",2000,0.01,2,"topcode",0.0095,0.0095,0.1529,0.153,0.964,0
"45","gamma",2000,0.01,3,"mean_adj",-0.0006,-0.0006,0.0812,0.0812,0.98,0
"46","gamma",2000,0.01,3,"median_adj",0.0032,0.0032,0.0862,0.0862,0.976,0
"47","gamma",2000,0.01,3,"raw",-0.026,-0.026,0.9833,0.9825,0.8625,71
"48","gamma",2000,0.01,3,"topcode",-0.0063,-0.0063,0.168,0.168,0.954,0
"49","gamma",2000,0.05,1,"mean_adj",0.0014,0.0014,0.3729,0.3725,0.96,0
"50","gamma",2000,0.05,1,"median_adj",0.0051,0.0051,0.4405,0.4401,0.918,0
"51","gamma",2000,0.05,1,"raw",0.0175,0.0175,0.4411,0.441,0.94,0
